season,sport,division,stage,rank,team,team_name,wins,losses,points,details,mvp,rookie,source
2003-2004,Volleyball,Girls,Final Standings,3,DLSZ,De La Salle Santiago Zobel School,2,4,,Third place,FATIMA REBUYAS (UST),GIZA YUMANG (UE),IMG_0787
2003-2004,Volleyball,Girls,Final Standings,4,UP,University of the Philippines,0,6,,Fourth place,FATIMA REBUYAS (UST),GIZA YUMANG (UE),IMG_0787
2003-2004,Volleyball,Juniors,Final Standings,1,DLSU,De La Salle University,8,0,,,,,structured/volleyball/2003-2004.json
2003-2004,Volleyball,Juniors,Final Standings,2,UE,University of the East,5,3,,,,,structured/volleyball/2003-2004.json
2003-2004,Volleyball,Juniors,Final Standings,3,UST,University of Santo Tomas,5,3,,,,,structured/volleyball/2003-2004.json
2003-2004,Volleyball,Juniors,Final Standings,4,ADMU,Ateneo de Manila University,2,6,,,,,structured/volleyball/2003-2004.json
2003-2004,Volleyball,Juniors,Final Standings,5,UP,University of the Philippines,0,8,,,,,structured/volleyball/2003-2004.json
2003-2004,Volleyball,Men's,Final Standings,1,DLSU,De La Salle University,13,1,,Champion,Janley P. Patrona (DLSU),Edjet C. Mabbayad (DLSU),IMG_0775
2003-2004,Volleyball,Men's,Final Standings,2,UP,University of the Philippines,11,3,,BEST SPIKER,Janley P. Patrona (DLSU),Edjet C. Mabbayad (DLSU),IMG_0775
2003-2004,Volleyball,Men's,Final Standings,3,FEU,Far Eastern University,11,3,,Third place,Janley P. Patrona (DLSU),Edjet C. Mabbayad (DLSU),IMG_0775
2003-2004,Volleyball,Men's,Final Standings,4,AdU,Adamson University,7,7,,Fourth place,Janley P. Patrona (DLSU),Edjet C. Mabbayad (DLSU),IMG_0775
2003-2004,Volleyball,Men's,Final Standings,5,UST,University of Santo Tomas,7,7,,Fifth place,Janley P. Patrona (DLSU),Edjet C. Mabbayad (DLSU),IMG_0775
2003-2004,Volleyball,Men's,Final Standings,6,UE,University of the East,4,10,,Sixth place,Janley P. Patrona (DLSU),Edjet C. Mabbayad (DLSU),IMG_0775
2003-2004,Volleyball,Men's,Final Standings,7,NU,National University,3,11,,Seventh place,Janley P. Patrona (DLSU),Edjet C. Mabbayad (DLSU),IMG_0775
2003-2004,Volleyball,Men's,Final Standings,8,ADMU,Ateneo de Manila University,0,14,,Eighth place,Janley P. Patrona (DLSU),Edjet C. Mabbayad (DLSU),IMG_0775
2003-2004,Volleyball,Women's,Final Standings,1,FEU,Far Eastern University,13,1,,BEST SPIKER,Desiree C. Hernandez (DLSU),Ma. Rosario B. Soriano (ADMU),IMG_0779
2003-2004,Volleyball,Women's,Final Standings,2,UST,University of Santo Tomas,12,2,,,Desiree C. Hernandez (DLSU),Ma. Rosario B. Soriano (ADMU),IMG_0779
2003-2004,Volleyball,Women's,Final Standings,3,DLSU,De La Salle University,11,3,,MOST VALUABLE PLAYER,Desiree C. Hernandez (DLSU),Ma. Rosario B. Soriano (ADMU),IMG_0779
2003-2004,Volleyball,Women's,Final Standings,4,UE,University of the East,8,6,,,Desiree C. Hernandez (DLSU),Ma. Rosario B. Soriano (ADMU),IMG_0779
2003-2004,Volleyball,Women's,Final Standings,5,UP,University of the Philippines,5,9,,,Desiree C. Hernandez (DLSU),Ma. Rosario B. Soriano (ADMU),IMG_0779
2003-2004,Volleyball,Women's,Final Standings,6,ADMU,Ateneo de Manila University,4,10,,ROOKIE OF THE YEAR,Desiree C. Hernandez (DLSU),Ma. Rosario B. Soriano (ADMU),IMG_0779
2003-2004,Volleyball,Women's,Final Standings,7,AdU,Adamson University,3,11,,BEST RECEIVER,Desiree C. Hernandez (DLSU),Ma. Rosario B. Soriano (ADMU),IMG_0779
2003-2004,Volleyball,Women's,Final Standings,8,NU,National University,0,14,,,Desiree C. Hernandez (DLSU),Ma. Rosario B. Soriano (ADMU),IMG_0779
2000-2001,Badminton,Men's,Final Standings,3,ADMU,Ateneo de Manila University,,,,,,,"IMG_1094, IMG_1095"
2000-2001,Badminton,Men's,Final Standings,3,DLSU,De La Salle University,,,,8:00,,,"IMG_1094, IMG_1095"
2000-2001,Badminton,Men's,Final Standings,3,FEU,Far Eastern University,,,,,,,"IMG_1094, IMG_1095"
2000-2001,Badminton,Men's,Final Standings,3,NU,National University,,,,10:00,,,"IMG_1094, IMG_1095"
2000-2001,Badminton,Men's,Final Standings,3,UST,University of Santo Tomas,,,,,,,"IMG_1094, IMG_1095"
2000-2001,Badminton,Men's,Final Standings,4,UE,University of the East,,,,,,,"IMG_1094, IMG_1095"
2000-2001,Baseball,Men's,Final Standings,1,UP,University of the Philippines,7,2,,1,Darwin dela Calzada (UP),Gil Encarnado (UST),"IMG_1118, IMG_1119"
2000-2001,Baseball,Men's,Final Standings,2,AdU,Adamson University,6,3,,1,Darwin dela Calzada (UP),Gil Encarnado (UST),"IMG_1118, IMG_1119"
2000-2001,Baseball,Men's,Final Standings,3,UST,University of Santo Tomas,5,4,,1,Darwin dela Calzada (UP),Gil Encarnado (UST),"IMG_1118, IMG_1119"
2000-2001,Baseball,Men's,Final Standings,4,DLSU,De La Salle University,5,4,,1,Darwin dela Calzada (UP),Gil Encarnado (UST),"IMG_1118, IMG_1119"
2000-2001,Baseball,Men's,Final Standings,5,NU,National University,2,7,,1,Darwin dela Calzada (UP),Gil Encarnado (UST),"IMG_1118, IMG_1119"
2000-2001,Baseball,Men's,Final Standings,6,ADMU,Ateneo de Manila University,1,9,,0,Darwin dela Calzada (UP),Gil Encarnado (UST),"IMG_1118, IMG_1119"
2000-2001,Basketball,Juniors,Final Standings,1,ADMU,Ateneo de Manila University,,,,Champion,JOSE (JUN) CORTEZ (ADMU),ALDOVER (ADMU),IMG_1130
2000-2001,Basketball,Juniors,Final Standings,3,DLSU,De La Salle University,,,,Third place,JOSE (JUN) CORTEZ (ADMU),ALDOVER (ADMU),IMG_1130
2000-2001,Basketball,Juniors,Final Standings,4,AdU,Adamson University,,,,Fourth place,JOSE (JUN) CORTEZ (ADMU),ALDOVER (ADMU),IMG_1130
2000-2001,Basketball,Juniors,Final Standings,4,UST,University of Santo Tomas,,,,CORTEZ,JOSE (JUN) CORTEZ (ADMU),ALDOVER (ADMU),IMG_1130
2000-2001,Basketball,Juniors,Final Standings,5,UE,University of the East,,,,Fifth place,JOSE (JUN) CORTEZ (ADMU),ALDOVER (ADMU),IMG_1130
2000-2001,Basketball,Juniors,Final Standings,6,UP,University of the Philippines,,,,Sixth place,JOSE (JUN) CORTEZ (ADMU),ALDOVER (ADMU),IMG_1130
2000-2001,Basketball,Juniors,Final Standings,7,NU,National University,,,,Seventh place,JOSE (JUN) CORTEZ (ADMU),ALDOVER (ADMU),IMG_1130
2000-2001,Basketball,Men's,Final Standings,1,DLSU,De La Salle University,,,,Champion,RICHARD ALVAREZ (ADMU),MIKE CORTEZ (DLSU),"IMG_1122, IMG_1123, IMG_1265, IMG_1268, IMG_1281, IMG_1282"
2000-2001,Basketball,Men's,Final Standings,2,FEU,Far Eastern University,,,,Runner-up,RICHARD ALVAREZ (ADMU),MIKE CORTEZ (DLSU),"IMG_1122, IMG_1123, IMG_1265, IMG_1268, IMG_1281, IMG_1282"
2000-2001,Basketball,Men's,Final Standings,3,ADMU,Ateneo de Manila University,,,,Third place,RICHARD ALVAREZ (ADMU),MIKE CORTEZ (DLSU),"IMG_1122, IMG_1123, IMG_1265, IMG_1268, IMG_1281, IMG_1282"
2000-2001,Basketball,Men's,Final Standings,4,UST,University of Santo Tomas,24,11,,Fourth place,RICHARD ALVAREZ (ADMU),MIKE CORTEZ (DLSU),"IMG_1122, IMG_1123, IMG_1265, IMG_1268, IMG_1281, IMG_1282"
2000-2001,Basketball,Men's,Final Standings,5,UE,University of the East,40,12,,Fifth place,RICHARD ALVAREZ (ADMU),MIKE CORTEZ (DLSU),"IMG_1122, IMG_1123, IMG_1265, IMG_1268, IMG_1281, IMG_1282"
2000-2001,Basketball,Men's,Final Standings,6,UP,University of the Philippines,10,10,,Sixth place,RICHARD ALVAREZ (ADMU),MIKE CORTEZ (DLSU),"IMG_1122, IMG_1123, IMG_1265, IMG_1268, IMG_1281, IMG_1282"
2000-2001,Basketball,Men's,Final Standings,7,NU,National University,,,,Seventh place,RICHARD ALVAREZ (ADMU),MIKE CORTEZ (DLSU),"IMG_1122, IMG_1123, IMG_1265, IMG_1268, IMG_1281, IMG_1282"
2000-2001,Basketball,Men's,Final Standings,8,AdU,Adamson University,14,12,,Eighth place,RICHARD ALVAREZ (ADMU),MIKE CORTEZ (DLSU),"IMG_1122, IMG_1123, IMG_1265, IMG_1268, IMG_1281, IMG_1282"
2000-2001,Basketball,Women's,Final Standings,1,AdU,Adamson University,11,1,,756,NARCIZA (AdU),ERICA DY (ADMU),"IMG_1127, IMG_1277"
2000-2001,Basketball,Women's,Final Standings,2,FEU,Far Eastern University,9,3,,648,NARCIZA (AdU),ERICA DY (ADMU),"IMG_1127, IMG_1277"
2000-2001,Basketball,Women's,Final Standings,3,DLSU,De La Salle University,8,4,,779,NARCIZA (AdU),ERICA DY (ADMU),"IMG_1127, IMG_1277"
2000-2001,Basketball,Women's,Final Standings,4,UST,University of Santo Tomas,7,5,,597,NARCIZA (AdU),ERICA DY (ADMU),"IMG_1127, IMG_1277"
2000-2001,Basketball,Women's,Final Standings,5,UP,University of the Philippines,4,8,,623,NARCIZA (AdU),ERICA DY (ADMU),"IMG_1127, IMG_1277"
2000-2001,Basketball,Women's,Final Standings,6,UE,University of the East,3,9,,541,NARCIZA (AdU),ERICA DY (ADMU),"IMG_1127, IMG_1277"
2000-2001,Basketball,Women's,Final Standings,7,ADMU,Ateneo de Manila University,0,12,,538,NARCIZA (AdU),ERICA DY (ADMU),"IMG_1127, IMG_1277"
2000-2001,Chess,Juniors,Final Standings,1,ADMU,Ateneo de Manila University,,,32.5,"Templo, Pedro Bernard",Emmanuel Franz Plan (ADMU),Ana Paula Castillo (AdU),IMG_1141
2000-2001,Chess,Juniors,Final Standings,2,UE,University of the East,,,22.5,,Emmanuel Franz Plan (ADMU),Ana Paula Castillo (AdU),IMG_1141
2000-2001,Chess,Juniors,Final Standings,3,UST,University of Santo Tomas,,,19,"Mora, Benedict",Emmanuel Franz Plan (ADMU),Ana Paula Castillo (AdU),IMG_1141
2000-2001,Chess,Juniors,Final Standings,4,DLSZ,De La Salle Santiago Zobel School,,,15.5,7.0,Emmanuel Franz Plan (ADMU),Ana Paula Castillo (AdU),IMG_1141
2000-2001,Chess,Juniors,Final Standings,5,AdU,Adamson University,,,15.5,6.0,Emmanuel Franz Plan (ADMU),Ana Paula Castillo (AdU),IMG_1141
2000-2001,Chess,Juniors,Final Standings,6,NU,National University,,,15,"Magat, Jed Angelo",Emmanuel Franz Plan (ADMU),Ana Paula Castillo (AdU),IMG_1141
2000-2001,Chess,Men's,Final Standings,1,DLSU,De La Salle University,,,39.5,Champion,Oliver Dimailig (DLSU),Vergel Yabut (UST),"IMG_1134, IMG_1135"
2000-2001,Chess,Men's,Final Standings,2,UP,University of the Philippines,,,38,"Pascua, Cyrus Ian",Oliver Dimailig (DLSU),Vergel Yabut (UST),"IMG_1134, IMG_1135"
2000-2001,Chess,Men's,Final Standings,3,UST,University of Santo Tomas,,,31.5,Third place,Oliver Dimailig (DLSU),Vergel Yabut (UST),"IMG_1134, IMG_1135"
2000-2001,Chess,Men's,Final Standings,4,FEU,Far Eastern University,,,31.5,Fourth place,Oliver Dimailig (DLSU),Vergel Yabut (UST),"IMG_1134, IMG_1135"
2000-2001,Chess,Men's,Final Standings,5,UE,University of the East,,,28.5,Fifth place,Oliver Dimailig (DLSU),Vergel Yabut (UST),"IMG_1134, IMG_1135"
2000-2001,Chess,Men's,Final Standings,6,AdU,Adamson University,,,25,Sixth place,Oliver Dimailig (DLSU),Vergel Yabut (UST),"IMG_1134, IMG_1135"
2000-2001,Chess,Men's,Final Standings,7,ADMU,Ateneo de Manila University,,,23.5,Seventh place,Oliver Dimailig (DLSU),Vergel Yabut (UST),"IMG_1134, IMG_1135"
2000-2001,Chess,Men's,Final Standings,8,NU,National University,,,19.5,,Oliver Dimailig (DLSU),Vergel Yabut (UST),"IMG_1134, IMG_1135"
2000-2001,Chess,Women's,Final Standings,1,UE,University of the East,10,11,35,Champion,Mary Grace Castro (UE),Roselyn Santos (AdU),IMG_1138
2000-2001,Chess,Women's,Final Standings,3,AdU,Adamson University,8,10,28,Third place,Mary Grace Castro (UE),Roselyn Santos (AdU),IMG_1138
2000-2001,Chess,Women's,Final Standings,4,UST,University of Santo Tomas,10,12,27.5,Fourth place,Mary Grace Castro (UE),Roselyn Santos (AdU),IMG_1138
2000-2001,Chess,Women's,Final Standings,4,FEU,Far Eastern University,9,12,30.5,"Andres, Sheryll",Mary Grace Castro (UE),Roselyn Santos (AdU),IMG_1138
2000-2001,Chess,Women's,Final Standings,5,UP,University of the Philippines,,,20.5,Fifth place,Mary Grace Castro (UE),Roselyn Santos (AdU),IMG_1138
2000-2001,Chess,Women's,Final Standings,6,DLSU,De La Salle University,,,13.5,Sixth place,Mary Grace Castro (UE),Roselyn Santos (AdU),IMG_1138
2000-2001,Chess,Women's,Final Standings,7,ADMU,Ateneo de Manila University,8,12,13,Seventh place,Mary Grace Castro (UE),Roselyn Santos (AdU),IMG_1138
2000-2001,Fencing,Men's,Final Standings,2,ADMU,Ateneo de Manila University,0,,,"LACHICA, EDWIN","CANLAS, Rolando (UE)",,"IMG_1145, IMG_1147, IMG_1165"
2000-2001,Fencing,Men's,Final Standings,3,DLSU,De La Salle University,4,,,"TORRES, JULIO NICHOLAS","CANLAS, Rolando (UE)",,"IMG_1145, IMG_1147, IMG_1165"
2000-2001,Fencing,Men's,Final Standings,4,FEU,Far Eastern University,1,,,"RANESES, RANDY","CANLAS, Rolando (UE)",,"IMG_1145, IMG_1147, IMG_1165"
2000-2001,Fencing,Men's,Final Standings,5,UE,University of the East,2,,,"ALBA, MARK EXEQUIEL","CANLAS, Rolando (UE)",,"IMG_1145, IMG_1147, IMG_1165"
2000-2001,Fencing,Men's,Final Standings,6,UP,University of the Philippines,0,,,"CABILLAN, DEO","CANLAS, Rolando (UE)",,"IMG_1145, IMG_1147, IMG_1165"
2000-2001,Fencing,Men's,Final Standings,7,UST,University of Santo Tomas,0,,,"DE LAZA, PAOLO","CANLAS, Rolando (UE)",,"IMG_1145, IMG_1147, IMG_1165"
2000-2001,Fencing,Women's,Final Standings,2,ADMU,Ateneo de Manila University,1,,,"REYES, MA. REGINA","ANGELES, Melly Joyce (UP)",,"IMG_1145, IMG_1156, IMG_1174"
2000-2001,Fencing,Women's,Final Standings,3,DLSU,De La Salle University,1,-17,,"PALOMO, SHERRYL","ANGELES, Melly Joyce (UP)",,"IMG_1145, IMG_1156, IMG_1174"
2000-2001,Fencing,Women's,Final Standings,4,FEU,Far Eastern University,1,,,"ACEVEDA, DOREEN FAY","ANGELES, Melly Joyce (UP)",,"IMG_1145, IMG_1156, IMG_1174"
2000-2001,Fencing,Women's,Final Standings,5,UE,University of the East,2,,,"RONQUILLO, GERALDINE","ANGELES, Melly Joyce (UP)",,"IMG_1145, IMG_1156, IMG_1174"
2000-2001,Fencing,Women's,Final Standings,6,UP,University of the Philippines,4,,,"GAMALLO, MA. MARGARITA","ANGELES, Melly Joyce (UP)",,"IMG_1145, IMG_1156, IMG_1174"
2000-2001,Fencing,Women's,Final Standings,7,UST,University of Santo Tomas,4,,,"RAMOS, RETCHIE","ANGELES, Melly Joyce (UP)",,"IMG_1145, IMG_1156, IMG_1174"
2000-2001,Football,Men's,Final Standings,1,UST,University of Santo Tomas,,,,Champion,Jerome Leung (UP),Avon John del Rosario (DLSU),"IMG_1182, IMG_1183"
2000-2001,Football,Men's,Final Standings,2,DLSU,De La Salle University,,,,Runner-up,Jerome Leung (UP),Avon John del Rosario (DLSU),"IMG_1182, IMG_1183"
2000-2001,Football,Men's,Final Standings,3,UP,University of the Philippines,,,,Third place,Jerome Leung (UP),Avon John del Rosario (DLSU),"IMG_1182, IMG_1183"
2000-2001,Football,Men's,Final Standings,4,ADMU,Ateneo de Manila University,,,,Fourth place,Jerome Leung (UP),Avon John del Rosario (DLSU),"IMG_1182, IMG_1183"
2000-2001,Football,Men's,Final Standings,5,UE,University of the East,,,,Fifth place,Jerome Leung (UP),Avon John del Rosario (DLSU),"IMG_1182, IMG_1183"
2000-2001,Football,Men's,Final Standings,6,FEU,Far Eastern University,,,,Sixth place,Jerome Leung (UP),Avon John del Rosario (DLSU),"IMG_1182, IMG_1183"
2000-2001,Judo,Men's,Final Standings,1,UST,University of Santo Tomas,,,,Champion,Host (UP),Marvin G. Dino (UST),"IMG_1189, IMG_1190"
2000-2001,Judo,Men's,Final Standings,2,ADMU,Ateneo de Manila University,,,,Runner-up,Host (UP),Marvin G. Dino (UST),"IMG_1189, IMG_1190"
2000-2001,Judo,Men's,Final Standings,3,UP,University of the Philippines,,,,Third place,Host (UP),Marvin G. Dino (UST),"IMG_1189, IMG_1190"
2000-2001,Judo,Men's,Final Standings,4,DLSU,De La Salle University,,,,Fourth place,Host (UP),Marvin G. Dino (UST),"IMG_1189, IMG_1190"
2000-2001,Judo,Men's,Final Standings,5,UE,University of the East,,,,Fifth place,Host (UP),Marvin G. Dino (UST),"IMG_1189, IMG_1190"
2000-2001,Judo,Women's,Final Standings,1,UP,University of the Philippines,,,,Champion,Ma. Cecilia G. Paras (UP),Michelle M. De Vera (UST),IMG_1194
2000-2001,Judo,Women's,Final Standings,2,UST,University of Santo Tomas,,,,Runner-up,Ma. Cecilia G. Paras (UP),Michelle M. De Vera (UST),IMG_1194
2000-2001,Judo,Women's,Final Standings,3,ADMU,Ateneo de Manila University,,,,Third place,Ma. Cecilia G. Paras (UP),Michelle M. De Vera (UST),IMG_1194
2000-2001,Judo,Women's,Final Standings,4,UE,University of the East,,,,Fourth place,Ma. Cecilia G. Paras (UP),Michelle M. De Vera (UST),IMG_1194
2000-2001,Lawn Tennis,Men's,Final Standings,1,UST,University of Santo Tomas,9,1,,Runner-up,Neil Steven O. Co (ADMU),Ian Edward de Guzman (UP),"IMG_1197, IMG_1198"
2000-2001,Lawn Tennis,Men's,Final Standings,1,ADMU,Ateneo de Manila University,8,1,,Champion,Neil Steven O. Co (ADMU),Ian Edward de Guzman (UP),"IMG_1197, IMG_1198"
2000-2001,Lawn Tennis,Men's,Final Standings,3,UP,University of the Philippines,5,2,,Third place,Neil Steven O. Co (ADMU),Ian Edward de Guzman (UP),"IMG_1197, IMG_1198"
2000-2001,Lawn Tennis,Men's,Final Standings,4,AdU,Adamson University,3,7,,Fourth place,Neil Steven O. Co (ADMU),Ian Edward de Guzman (UP),"IMG_1197, IMG_1198"
2000-2001,Lawn Tennis,Men's,Final Standings,5,DLSU,De La Salle University,3,7,,Fifth place,Neil Steven O. Co (ADMU),Ian Edward de Guzman (UP),"IMG_1197, IMG_1198"
2000-2001,Lawn Tennis,Men's,Final Standings,6,UE,University of the East,2,8,,Sixth place,Neil Steven O. Co (ADMU),Ian Edward de Guzman (UP),"IMG_1197, IMG_1198"
2000-2001,Softball,Men's,Final Standings,1,AdU,Adamson University,7,2,,Champion,Erlinda Pascual (UE),Ma. Theresa Lagman (UST),"IMG_1204, IMG_1205"
2000-2001,Softball,Men's,Final Standings,2,UST,University of Santo Tomas,6,1,,3,Erlinda Pascual (UE),Ma. Theresa Lagman (UST),"IMG_1204, IMG_1205"
2000-2001,Softball,Men's,Final Standings,3,UP,University of the Philippines,6,3,,Third place,Erlinda Pascual (UE),Ma. Theresa Lagman (UST),"IMG_1204, IMG_1205"
2000-2001,Softball,Men's,Final Standings,4,UE,University of the East,6,3,,1,Erlinda Pascual (UE),Ma. Theresa Lagman (UST),"IMG_1204, IMG_1205"
2000-2001,Softball,Men's,Final Standings,5,DLSU,De La Salle University,2,8,,-,Erlinda Pascual (UE),Ma. Theresa Lagman (UST),"IMG_1204, IMG_1205"
2000-2001,Softball,Men's,Final Standings,5,ADMU,Ateneo de Manila University,0,10,,Fifth place,Erlinda Pascual (UE),Ma. Theresa Lagman (UST),"IMG_1204, IMG_1205"
2000-2001,Table Tennis,Men's,Final Standings,1,DLSU,De La Salle University,13,20,,7,PHILIP JOHN SILOS (DLSU),,"IMG_1208, IMG_1210"
2000-2001,Table Tennis,Men's,Final Standings,2,UST,University of Santo Tomas,12,18,,11,PHILIP JOHN SILOS (DLSU),,"IMG_1208, IMG_1210"
2000-2001,Table Tennis,Men's,Final Standings,3,UE,University of the East,11,17,,13,PHILIP JOHN SILOS (DLSU),,"IMG_1208, IMG_1210"
2000-2001,Table Tennis,Men's,Final Standings,4,UP,University of the Philippines,12,16,,15,PHILIP JOHN SILOS (DLSU),,"IMG_1208, IMG_1210"
2000-2001,Table Tennis,Men's,Final Standings,5,AdU,Adamson University,12,12,,19,PHILIP JOHN SILOS (DLSU),,"IMG_1208, IMG_1210"
2000-2001,Table Tennis,Men's,Final Standings,6,FEU,Far Eastern University,9,9,,16,PHILIP JOHN SILOS (DLSU),,"IMG_1208, IMG_1210"
2000-2001,Table Tennis,Men's,Final Standings,7,ADMU,Ateneo de Manila University,8,8,,18,PHILIP JOHN SILOS (DLSU),,"IMG_1208, IMG_1210"
2000-2001,Table Tennis,Men's,Final Standings,8,NU,National University,7,0,,18,PHILIP JOHN SILOS (DLSU),,"IMG_1208, IMG_1210"
2000-2001,Table Tennis,Women's,Final Standings,1,UP,University of the Philippines,14,21,,3,Karen Jaleco (UP),,"IMG_1211, IMG_1212"
2000-2001,Table Tennis,Women's,Final Standings,2,UST,University of Santo Tomas,13,19,,6,Karen Jaleco (UP),,"IMG_1211, IMG_1212"
2000-2001,Table Tennis,Women's,Final Standings,3,UE,University of the East,12,17,,8,Karen Jaleco (UP),,"IMG_1211, IMG_1212"
2000-2001,Table Tennis,Women's,Final Standings,4,AdU,Adamson University,11,16,,10,Karen Jaleco (UP),,"IMG_1211, IMG_1212"
2000-2001,Table Tennis,Women's,Final Standings,5,FEU,Far Eastern University,10,10,,13,Karen Jaleco (UP),,"IMG_1211, IMG_1212"
2000-2001,Table Tennis,Women's,Final Standings,6,DLSU,De La Salle University,9,9,,15,Karen Jaleco (UP),,"IMG_1211, IMG_1212"
2000-2001,Table Tennis,Women's,Final Standings,7,ADMU,Ateneo de Manila University,8,3,,18,Karen Jaleco (UP),,"IMG_1211, IMG_1212"
2000-2001,Table Tennis,Women's,Final Standings,8,NU,National University,7,0,,21,Karen Jaleco (UP),,"IMG_1211, IMG_1212"
2000-2001,Tae Kwon Do,Juniors,Final Standings,1,ADMU,Ateneo de Manila University,,,,Champion,Gregory Paul Yan (ADMU),,IMG_1215
2000-2001,Tae Kwon Do,Juniors,Final Standings,2,UP,University of the Philippines,,,,Runner-up,Gregory Paul Yan (ADMU),,IMG_1215
2000-2001,Tae Kwon Do,Juniors,Final Standings,3,UST,University of Santo Tomas,,,,Third place,Gregory Paul Yan (ADMU),,IMG_1215
2000-2001,Tae Kwon Do,Juniors,Final Standings,4,DLSZ,De La Salle Santiago Zobel School,,,,Fourth place,Gregory Paul Yan (ADMU),,IMG_1215
2000-2001,Tae Kwon Do,Juniors,Final Standings,5,UE,University of the East,,,,Fifth place,Gregory Paul Yan (ADMU),,IMG_1215
2000-2001,Tae Kwon Do,Men's,Final Standings,1,DLSU,De La Salle University,,,,Champion,Jason Jalbuena (DLSU),,"IMG_1214, IMG_1215, IMG_1216"
2000-2001,Tae Kwon Do,Men's,Final Standings,3,UP,University of the Philippines,,,,Third place,Jason Jalbuena (DLSU),,"IMG_1214, IMG_1215, IMG_1216"
2000-2001,Tae Kwon Do,Men's,Final Standings,3,UST,University of Santo Tomas,,,,Third place,Jason Jalbuena (DLSU),,"IMG_1214, IMG_1215, IMG_1216"
2000-2001,Tae Kwon Do,Men's,Final Standings,4,UE,University of the East,,,,Fourth place,Jason Jalbuena (DLSU),,"IMG_1214, IMG_1215, IMG_1216"
2000-2001,Tae Kwon Do,Men's,Final Standings,5,FEU,Far Eastern University,,,,Fifth place,Jason Jalbuena (DLSU),,"IMG_1214, IMG_1215, IMG_1216"
2000-2001,Tae Kwon Do,Men's,Final Standings,6,ADMU,Ateneo de Manila University,,,,Sixth place,Jason Jalbuena (DLSU),,"IMG_1214, IMG_1215, IMG_1216"
2000-2001,Tae Kwon Do,Women's,Final Standings,1,UST,University of Santo Tomas,,,,Champion,Daleen Cordero (UST),,"IMG_1214, IMG_1215"
2000-2001,Tae Kwon Do,Women's,Final Standings,2,UP,University of the Philippines,,,,Runner-up,Daleen Cordero (UST),,"IMG_1214, IMG_1215"
2000-2001,Tae Kwon Do,Women's,Final Standings,3,FEU,Far Eastern University,,,,Third place,Daleen Cordero (UST),,"IMG_1214, IMG_1215"
2000-2001,Tae Kwon Do,Women's,Final Standings,4,ADMU,Ateneo de Manila University,,,,Fourth place,Daleen Cordero (UST),,"IMG_1214, IMG_1215"
2000-2001,Tae Kwon Do,Women's,Final Standings,5,UE,University of the East,,,,Fifth place,Daleen Cordero (UST),,"IMG_1214, IMG_1215"
2000-2001,Tae Kwon Do,Women's,Final Standings,6,DLSU,De La Salle University,,,,Sixth place,Daleen Cordero (UST),,"IMG_1214, IMG_1215"
2000-2001,Volleyball,Boys,Final Standings,1,UE,University of the East,10,0,,Champion,Jerico Magno (UE),,"IMG_1235, IMG_1236"
2000-2001,Volleyball,Boys,Final Standings,2,ADMU,Ateneo de Manila University,7,3,,RUNNER-UP,Jerico Magno (UE),,"IMG_1235, IMG_1236"
2000-2001,Volleyball,Boys,Final Standings,3,UST,University of Santo Tomas,6,4,,Third place,Jerico Magno (UE),,"IMG_1235, IMG_1236"
2000-2001,Volleyball,Boys,Final Standings,3,DLSZ,De La Salle Santiago Zobel School,3,7,,Third place,Jerico Magno (UE),,"IMG_1235, IMG_1236"
2000-2001,Volleyball,Boys,Final Standings,4,UP,University of the Philippines,3,7,,Fourth place,Jerico Magno (UE),,"IMG_1235, IMG_1236"
2000-2001,Volleyball,Boys,Final Standings,5,NU,National University,1,9,,Fifth place,Jerico Magno (UE),,"IMG_1235, IMG_1236"
2000-2001,Volleyball,Girls,Final Standings,1,UE,University of the East,4,0,,Champion,Cherrie Mae Verzosa (UE),,IMG_1239
2000-2001,Volleyball,Girls,Final Standings,2,UST,University of Santo Tomas,2,2,,RUNNER-UP,Cherrie Mae Verzosa (UE),,IMG_1239
2000-2001,Volleyball,Girls,Final Standings,3,UP,University of the Philippines,0,4,,Third place,Cherrie Mae Verzosa (UE),,IMG_1239
2000-2001,Volleyball,Juniors,Final Standings,1,UE,University of the East,10,0,,,,,structured/volleyball/2000-2001.json
2000-2001,Volleyball,Juniors,Final Standings,2,ADMU,Ateneo de Manila University,7,3,,,,,structured/volleyball/2000-2001.json
2000-2001,Volleyball,Juniors,Final Standings,3,UST,University of Santo Tomas,6,4,,,,,structured/volleyball/2000-2001.json
2000-2001,Volleyball,Juniors,Final Standings,4,DLSU,De La Salle University,3,7,,,,,structured/volleyball/2000-2001.json
2000-2001,Volleyball,Juniors,Final Standings,5,UP,University of the Philippines,3,7,,,,,structured/volleyball/2000-2001.json
2000-2001,Volleyball,Juniors,Final Standings,6,NU,National University,1,9,,,,,structured/volleyball/2000-2001.json
2000-2001,Volleyball,Men's,Final Standings,1,UST,University of Santo Tomas,12,2,,Champion,Clarence T. Esteban (UST),Jodel Winston M. Escano (UST),"IMG_1219, IMG_1220"
2000-2001,Volleyball,Men's,Final Standings,1,FEU,Far Eastern University,10,4,,Best Server:,Clarence T. Esteban (UST),Jodel Winston M. Escano (UST),"IMG_1219, IMG_1220"
2000-2001,Volleyball,Men's,Final Standings,3,NU,National University,10,4,,Third place,Clarence T. Esteban (UST),Jodel Winston M. Escano (UST),"IMG_1219, IMG_1220"
